iteration,x,y,error
0,-20.0,20.0,876.5643159517732
1,-10.1,10.225,214.78290522514385
2,-5.248019801980198,5.552597799511002,49.634338827682086
3,-3.005106023997362,3.5867303703000264,9.295632811058207
4,-2.168086934605385,3.0479897416157895,0.9980967104597174
5,-2.0065157021921207,3.0003777924953137,0.035641376678941815
6,-2.000010579128539,3.0000000237848665,5.9744602854791026e-05
7,-2.0000000000279794,3.0,1.582753684270601e-10
8,-2.0,3.0,0.0
